State_Code	State_Name	State_Abv	Damage_Code	Damage_Descp	Amount
2	Alaska	AK	1	Decline in Price	2728
2	Alaska	AK	11	Drought	61674
1	Alabama	AL	1	Decline in Price	691645
1	Alabama	AL	9	Asian Soybean Rust	1031
1	Alabama	AL	11	Drought	12095166
1	Alabama	AL	12	Heat	777678
1	Alabama	AL	21	Hail	30174
1	Alabama	AL	31	Excess Moisture/Precip/Rain	19454535
1	Alabama	AL	41	Frost	104549
1	Alabama	AL	42	Freeze	16401
1	Alabama	AL	43	Cold Winter	26947
1	Alabama	AL	44	Cold Wet Weather	65058
1	Alabama	AL	51	Flood	125379
1	Alabama	AL	55	Area Plan Crops Only	462955
1	Alabama	AL	61	Wind/Excess Wind	61796
1	Alabama	AL	62	Hot Wind	5696
1	Alabama	AL	71	Insects	15954
1	Alabama	AL	81	Plant Disease	285501
1	Alabama	AL	93	Wildlife	1273689
5	Arkansas	AR	1	Decline in Price	810082
5	Arkansas	AR	9	Asian Soybean Rust	9620
5	Arkansas	AR	11	Drought	2289303
5	Arkansas	AR	12	Heat	9710160
5	Arkansas	AR	13	Failure Irrig Supply	51409
5	Arkansas	AR	14	Failure Irrig Equip	4831
5	Arkansas	AR	15	Inability to Prepare Land for Irr	16332
5	Arkansas	AR	21	Hail	493778
5	Arkansas	AR	31	Excess Moisture/Precip/Rain	119675613
5	Arkansas	AR	41	Frost	15899
5	Arkansas	AR	42	Freeze	2036
5	Arkansas	AR	43	Cold Winter	6397
5	Arkansas	AR	44	Cold Wet Weather	8424048
5	Arkansas	AR	51	Flood	6912664
5	Arkansas	AR	55	Area Plan Crops Only	997149
5	Arkansas	AR	61	Wind/Excess Wind	1436154
5	Arkansas	AR	71	Insects	39168
5	Arkansas	AR	81	Plant Disease	316777
5	Arkansas	AR	91	Fire	81603
5	Arkansas	AR	93	Wildlife	458424
5	Arkansas	AR	97	Earthquake	37796
5	Arkansas	AR	99	Other (Snow-Lightning-Etc.)	105312
4	Arizona	AZ	12	Heat	89863
4	Arizona	AZ	13	Failure Irrig Supply	9918142
4	Arizona	AZ	21	Hail	1355800
4	Arizona	AZ	31	Excess Moisture/Precip/Rain	222334
4	Arizona	AZ	42	Freeze	249800
4	Arizona	AZ	43	Cold Winter	4714
4	Arizona	AZ	51	Flood	24573
4	Arizona	AZ	55	Area Plan Crops Only	969749
4	Arizona	AZ	61	Wind/Excess Wind	51496
4	Arizona	AZ	81	Plant Disease	75664
6	California	CA	1	Decline in Price	11962
6	California	CA	11	Drought	1639605
6	California	CA	12	Heat	249047966
6	California	CA	13	Failure Irrig Supply	162514832
6	California	CA	14	Failure Irrig Equip	1156693
6	California	CA	21	Hail	11235929
6	California	CA	31	Excess Moisture/Precip/Rain	47616979
6	California	CA	41	Frost	3470451
6	California	CA	42	Freeze	8442885
6	California	CA	43	Cold Winter	1061493
6	California	CA	44	Cold Wet Weather	21979888
6	California	CA	51	Flood	61595
6	California	CA	55	Area Plan Crops Only	20047842
6	California	CA	61	Wind/Excess Wind	5273692
6	California	CA	62	Hot Wind	174093
6	California	CA	71	Insects	2823674
6	California	CA	81	Plant Disease	1982224
6	California	CA	91	Fire	118902
6	California	CA	93	Wildlife	1012243
6	California	CA	99	Other (Snow-Lightning-Etc.)	2688717
8	Colorado	CO	1	Decline in Price	1852426
8	Colorado	CO	11	Drought	9723064
8	Colorado	CO	12	Heat	528705
8	Colorado	CO	13	Failure Irrig Supply	9220718
8	Colorado	CO	14	Failure Irrig Equip	39465
8	Colorado	CO	21	Hail	20703273
8	Colorado	CO	31	Excess Moisture/Precip/Rain	29594857
8	Colorado	CO	41	Frost	365117
8	Colorado	CO	42	Freeze	13414590
8	Colorado	CO	43	Cold Winter	6921298
8	Colorado	CO	44	Cold Wet Weather	1433569
8	Colorado	CO	51	Flood	447971
8	Colorado	CO	55	Area Plan Crops Only	313447
8	Colorado	CO	61	Wind/Excess Wind	3396151
8	Colorado	CO	62	Hot Wind	688070
8	Colorado	CO	63	Cyclone	3809
8	Colorado	CO	64	Tornado	1017
8	Colorado	CO	71	Insects	62925
8	Colorado	CO	81	Plant Disease	1183740
8	Colorado	CO	87	Falling Numbers	307
8	Colorado	CO	93	Wildlife	26766
8	Colorado	CO	99	Other (Snow-Lightning-Etc.)	200520
9	Connecticut	CT	1	Decline in Price	29029
9	Connecticut	CT	11	Drought	70133
9	Connecticut	CT	12	Heat	2681
9	Connecticut	CT	31	Excess Moisture/Precip/Rain	75560
9	Connecticut	CT	81	Plant Disease	1369654
9	Connecticut	CT	93	Wildlife	8382
9	Connecticut	CT	95	House Burn (Pole Burn)	166012
10	Delaware	DE	1	Decline in Price	268848
10	Delaware	DE	11	Drought	1250703
10	Delaware	DE	12	Heat	42294
10	Delaware	DE	21	Hail	1989
10	Delaware	DE	31	Excess Moisture/Precip/Rain	281192
10	Delaware	DE	44	Cold Wet Weather	324263
10	Delaware	DE	61	Wind/Excess Wind	16734
10	Delaware	DE	71	Insects	1174
10	Delaware	DE	93	Wildlife	109455
10	Delaware	DE	99	Other (Snow-Lightning-Etc.)	145
12	Florida	FL	1	Decline in Price	206059
12	Florida	FL	11	Drought	4331433
12	Florida	FL	12	Heat	1267259
12	Florida	FL	14	Failure Irrig Equip	25920
12	Florida	FL	21	Hail	481982
12	Florida	FL	31	Excess Moisture/Precip/Rain	21260260
12	Florida	FL	41	Frost	142521
12	Florida	FL	42	Freeze	2369474
